image_urls,images,name,price
"https://data.favorit-motors.ru/upload/iblock/84a/84a10d980f2c3bf2be67d60a56964dea.jpg,https://data.favorit-motors.ru/upload/iblock/8c6/8c64f8b5572ae6345e2255d49a8ee01c.jpg,https://data.favorit-motors.ru/upload/iblock/011/011553a6745a8d6a91333d12c1ac973d.jpg,https://data.favorit-motors.ru/upload/iblock/250/2503b875bbc4e9c6eb00e515b2c07fb7.jpg,https://data.favorit-motors.ru/upload/iblock/ccc/ccc44664f9a98cdaf52735fec8ab40dd.jpg,https://data.favorit-motors.ru/upload/iblock/1da/1da8845e88cb621c14f1962a16dacf19.jpg,https://data.favorit-motors.ru/upload/iblock/c6f/c6fbd8a2c578e4c1fa19dd1995a3750b.jpg,https://data.favorit-motors.ru/upload/iblock/085/0851ea371e0937d45d0b60d5dc4ac57d.jpg,https://data.favorit-motors.ru/upload/iblock/8c8/8c817574c7e1759095e9e153ee5f384a.jpg,https://data.favorit-motors.ru/upload/iblock/7e9/7e9c7797afaa0f2249548819f8e9fdf2.jpg,https://data.favorit-motors.ru/upload/iblock/01d/01dea916b71a0244c066ed45b8716758.jpg",,CHERY ARRIZO 8 2023 ULTIMATE 1.6 бензин робот,3 399 000 ₽
"https://data.favorit-motors.ru/upload/iblock/0a9/0a99115166d2261884549f398a84f987.jpg,https://data.favorit-motors.ru/upload/iblock/d73/d73f38d9e259cb70d939723a1c84b34f.jpg,https://data.favorit-motors.ru/upload/iblock/903/903fdac044e8e01e34ef90cfaf41f2cd.jpg,https://data.favorit-motors.ru/upload/iblock/7e7/7e7136b52c9511708ce123747e1fdcaf.jpg,https://data.favorit-motors.ru/upload/iblock/bc9/bc9c59cb9e7960dd75bd4c2934f18062.jpg,https://data.favorit-motors.ru/upload/iblock/c0b/c0b9804216a7072befc6c9da1888ead3.jpg,https://data.favorit-motors.ru/upload/iblock/af3/af3e919276ece293932ae603e79c48bf.jpg,https://data.favorit-motors.ru/upload/iblock/7c3/7c37602286b1248e713ddfa016785d41.jpg,https://data.favorit-motors.ru/upload/iblock/4e4/4e4605699f49ca0fe713fa3863219afb.jpg,https://data.favorit-motors.ru/upload/iblock/20a/20a4d9f06af3cf1efaafd731ace9dad0.jpg,https://data.favorit-motors.ru/upload/iblock/4f5/4f55b61d8e91cbf180d96aa2a64be0d4.jpg",,BAIC X35 2023  LUXURY L 1.5 бензин вариатор,2 290 000 ₽
"https://data.favorit-motors.ru/upload/iblock/05c/05c3b8378d1239dec474a94cb0a11fba.jpg,https://data.favorit-motors.ru/upload/iblock/d7e/d7ec11e6e8d836c9522331d3bce48222.jpg,https://data.favorit-motors.ru/upload/iblock/522/522ca3cfbfd9b358d7e25f0ef5e7877a.jpg,https://data.favorit-motors.ru/upload/iblock/05f/05f9a522781a70145491366152e82509.jpg,https://data.favorit-motors.ru/upload/iblock/857/85716995b9fa0fc724148c9284461d39.jpg,https://data.favorit-motors.ru/upload/iblock/0ee/0ee7b55e755d17c496dacdcd54066ca6.jpg,https://data.favorit-motors.ru/upload/iblock/25c/25c23eced3d37de3ae4dcc52e0336c66.jpg,https://data.favorit-motors.ru/upload/iblock/408/408f3d26a10a778babbcf59f15cbc310.jpg,https://data.favorit-motors.ru/upload/iblock/5e3/5e3accd24b00b3457d3a14a3815a7694.jpg,https://data.favorit-motors.ru/upload/iblock/34c/34c0b85c4ffea72532a4aab4b7d001f3.jpg,https://data.favorit-motors.ru/upload/iblock/8a2/8a2d0c7136c1d13a30d5e3fffb0fe96c.jpg",,"GEELY TUGELLA 2023 TUGELLA (FY11) AКПП 2,0 FLAGSHIP SPORT 4WD J1-FL MY23 2 бензин автомат",4 389 990 ₽
"https://data.favorit-motors.ru/upload/iblock/f34/f340fa7cfd77cf759069ed049745ef58.jpg,https://data.favorit-motors.ru/upload/iblock/b0a/b0a3a4e51e71a7e7e6441239829823c2.jpg,https://data.favorit-motors.ru/upload/iblock/d25/d2537b8af75ee864ea6c4aae47146736.jpg,https://data.favorit-motors.ru/upload/iblock/1a2/1a2273be6338d47f8294cbbba1452e23.jpg,https://data.favorit-motors.ru/upload/iblock/26a/26aad54d0a0df50500c2ba447ba3d814.jpg,https://data.favorit-motors.ru/upload/iblock/6f3/6f30abb484c5308699295626d1eaf53b.jpg,https://data.favorit-motors.ru/upload/iblock/930/9304022c4e662369558442c5e6865e34.jpg,https://data.favorit-motors.ru/upload/iblock/51c/51cf2e9530ac42bf1fba028316f060ba.jpg,https://data.favorit-motors.ru/upload/iblock/883/883ab2666bf315fec70722d1794350a8.jpg,https://data.favorit-motors.ru/upload/iblock/648/648f8e2fb9390d1680faaac7a2431cbb.jpg,https://data.favorit-motors.ru/upload/iblock/78d/78dde974b702af22b30901d843919976.jpg",,"CHANGAN CS55PLUS 2023 CHANGAN CS55PLUS 1,5Т DCT TECH AT 1.5 бензин робот",2 479 900 ₽
"https://data.favorit-motors.ru/upload/iblock/036/036c13ddfeeac6939b01550f64ae10fe.jpg,https://data.favorit-motors.ru/upload/iblock/42e/42ee0c67b8c17c9991e1392efe582b65.jpg,https://data.favorit-motors.ru/upload/iblock/33c/33c370c5189d475857e213b0057488f7.jpg,https://data.favorit-motors.ru/upload/iblock/ca4/ca4d90473e73b5df9c12dcd8586534e1.jpg,https://data.favorit-motors.ru/upload/iblock/183/183fbde7b62f7b80e23d68f4f8c7d9c0.jpg,https://data.favorit-motors.ru/upload/iblock/82a/82a4be24c139becdc1a650c8dcbac6bf.jpg,https://data.favorit-motors.ru/upload/iblock/44c/44cf0694437889b9b0f2cc2ce867347d.jpg,https://data.favorit-motors.ru/upload/iblock/558/558f318f1598fd98c32dd828f13b7219.jpg,https://data.favorit-motors.ru/upload/iblock/ec3/ec303d278a36019f4380210a51f9aadc.jpg,https://data.favorit-motors.ru/upload/iblock/ec6/ec602a690ffb288a1329041e28158cb9.jpg",,BELGEE X50 2024 X50(SX11) ACTIVE 1.5T 2WD 7DCT (150 Л.С.) 1.5 бензин автомат,2 290 990 ₽
"https://data.favorit-motors.ru/upload/iblock/edf/edfb40dfa32b5811c414c111e67ea84a.jpg,https://data.favorit-motors.ru/upload/iblock/f29/f29af9e7054785575429bf49341f1ce3.jpg,https://data.favorit-motors.ru/upload/iblock/fd1/fd12ae54909aa1d4c0948970a59228fa.jpg,https://data.favorit-motors.ru/upload/iblock/ecc/ecc8124ac045c83e4e6a26010d25590c.jpg,https://data.favorit-motors.ru/upload/iblock/358/3584d206179f6ec121cad9cee1191149.jpg,https://data.favorit-motors.ru/upload/iblock/4be/4be5d3ebc62d0b7d8ce6f62809e2128b.jpg,https://data.favorit-motors.ru/upload/iblock/027/02712a9a30074609c72f799301ce181d.jpg,https://data.favorit-motors.ru/upload/iblock/9eb/9eb41be085ee12bbbd4da21107c815c7.jpg,https://data.favorit-motors.ru/upload/iblock/063/063d7e11fe3408173581bf49202185ab.jpg,https://data.favorit-motors.ru/upload/iblock/c1d/c1d4085884ccc013623f90000afc2f54.jpg,https://data.favorit-motors.ru/upload/iblock/01f/01f3cb0c16ab27fe9d27c25027e87c56.jpg",,GEELY COOLRAY 2024 COOLRAY (SX11) АКПП 1.5Т LP LUXURY 1.5 бензин автомат,2 514 990 ₽
"https://data.favorit-motors.ru/upload/iblock/33a/33aea71b885463d5d7a5be841cdf14ef.jpg,https://data.favorit-motors.ru/upload/iblock/919/919bc74258df8c98f2a12654d44e12db.jpg,https://data.favorit-motors.ru/upload/iblock/af6/af60a9d2b803db8937924e1ec73ea4bc.jpg,https://data.favorit-motors.ru/upload/iblock/45c/45cbda2f2ca7019662425a9e85e70341.jpg,https://data.favorit-motors.ru/upload/iblock/789/7899db032896ce129a8372749894b654.jpg,https://data.favorit-motors.ru/upload/iblock/45d/45de54ab22fc9a8a308407fb0df06ddd.jpg,https://data.favorit-motors.ru/upload/iblock/4c2/4c24cff62e427d5c1132dca182f4ef92.jpg,https://data.favorit-motors.ru/upload/iblock/d3c/d3c708027f607ccc5cda0943f65c9e34.jpg,https://data.favorit-motors.ru/upload/iblock/15f/15f2d8dbc1ea783cbc1e0f54cfa3a767.jpg,https://data.favorit-motors.ru/upload/iblock/9cc/9cce722656dab7d7025a5810ff0b4d39.jpg,https://data.favorit-motors.ru/upload/iblock/e81/e8157747661f23055ac1aac289124680.jpg",,BAIC X35 2023  LUXURY L 1.5 бензин вариатор,2 290 000 ₽
"https://data.favorit-motors.ru/upload/iblock/4ce/4cedb4ee0fc14e82db90dd027e6084fa.jpg,https://data.favorit-motors.ru/upload/iblock/0db/0dbfac9323417df5f7eebc695ec83228.jpg,https://data.favorit-motors.ru/upload/iblock/e0d/e0dd2e05f2c69fc9c589428fc44e4d4d.jpg,https://data.favorit-motors.ru/upload/iblock/5e2/5e288b6acf51bb9450b9260ec03e00f3.jpg,https://data.favorit-motors.ru/upload/iblock/c7a/c7aa591af277e7fbd9f563bfbc0a0109.jpg,https://data.favorit-motors.ru/upload/iblock/b20/b201e72d247b965cb4c948ed1b1b0686.jpg,https://data.favorit-motors.ru/upload/iblock/8b1/8b15549e3cc96668cee4915fade0e319.jpg,https://data.favorit-motors.ru/upload/iblock/23d/23d9631d7af5146cc855c905016ad7e6.jpg,https://data.favorit-motors.ru/upload/iblock/34f/34f4064aca2d65e1cfb864b2fb12f9bd.jpg,https://data.favorit-motors.ru/upload/iblock/bdc/bdcb1f0d7f004c9c9edc8ddb1af2aef0.jpg,https://data.favorit-motors.ru/upload/iblock/374/374057d9dbed02d09899f3c97acc4c40.jpg",,BELGEE X50 2024 X50(SX11) STYLE 1.5T 2WD 7DCT (150 Л.С.) 1.5 бензин автомат,2 400 990 ₽
"https://data.favorit-motors.ru/upload/iblock/a30/a30d70b3efc0d1f66ac25b61d0f4c34c.jpg,https://data.favorit-motors.ru/upload/iblock/4ab/4ab41dafb8c43758317f837de481e88c.jpg,https://data.favorit-motors.ru/upload/iblock/6d5/6d56c9fd5c97b087c7a4ee3b9770c8b8.jpg,https://data.favorit-motors.ru/upload/iblock/2d0/2d0917d53caa4c49cbc66736d0a6f3af.jpg,https://data.favorit-motors.ru/upload/iblock/62b/62b808d5fef429ccc1c8f34f793ca629.jpg,https://data.favorit-motors.ru/upload/iblock/9f9/9f91e30603375400b77cb2a9d6b9f633.jpg,https://data.favorit-motors.ru/upload/iblock/bf8/bf8aa32bcbf7bbb3df6bf778fd211af2.jpg,https://data.favorit-motors.ru/upload/iblock/bb9/bb9e5bdb4ed644af6e73b7d80ece5b0b.jpg,https://data.favorit-motors.ru/upload/iblock/61e/61ea2f51d062b974c778cd972d4624df.jpg,https://data.favorit-motors.ru/upload/iblock/8b1/8b14a2b2aa4638f7f3f0af5130d45070.jpg,https://data.favorit-motors.ru/upload/iblock/b0d/b0d78a559e101191bcf6a15f34ef11f4.jpg",,GEELY COOLRAY 2023 COOLRAY (SX11) АКПП 1.5Т LP LUXURY 1.5 бензин автомат,2 514 990 ₽
